번호,클래스,이름,텍스트,선택지,결과1 텍스트,결과,결과2 텍스트,결과
1,환경,가뭄,"너무 오랫동안 비가 오지 않자, 들판은 물론 숲 속의 작은 샘까지 말라가기 시작했습니다! 농부들은 울고 있고, 사람들은 왕을 향해 화를 내고 있습니다. 이제는 먹을 물까지 걱정해야할 판입니다...",기우제를 지낸다.,헛된 노력이었습니다.,재산 --,비가 오기 시작합니다!,사회적 지위+
,,,,새로운 우물을 찾아 파본다.,헛된 노력이었습니다.,재산 -,우물을 찾아냈습니다!,사회적 지위++
,,,,가족들을 달래며 힘든 시기를 견뎌본다.,병에 걸리고 말았습니다.,건강: 질병,비가 오기 시작합니다!,가족+
2,환경,청명,"모든것이 완벽한 평온한 날씨가 며칠씩 계속 되고 있습니다. 곡식과 열매들은 탐스럽게 익어 가고, 가축들은 평화롭게 풀을 뜯습니다. 따듯한 햇살과 기분좋게 불어오는 바람에 누구라도 걱정을 내려놓고 마음을 열 수 밖에 없을 것입니다. ",좋은 날이 있으면 궂은 날이 있는 법. 미래를 대비한다.,미래의 힘든 시기에 대비할 수 있었습니다,재산+,모든 것을 모아놓았지만 필요하지 않았습니다,사회적 지위 -
,,,,가족들과 소풍을 떠난다.,가족 관계가 더욱 좋아졌습니다,가족+,소풍 중에 불상사가 발생했습니다,부상
,,,,악상이 떠오른다. 노래를 만든다.,동네에서 노래가 유행했습니다.,사회적 지위+,노래가 사회적 파장을 일으켜 벌금을 냈습니다.,재산 -
3,환경,산불,산등성이 너머에서 연기가 피어오른 뒤 불길이 보이기 시작했습니다. 불길은 며칠째 빠르게 퍼져 나가며 숲과 마을을 위협하고 있습니다. 사람들은 신을 원망하며 물과 기도로 불을 끄려고 애쓰고 있습니다.,며칠간 건너 마을 친척집으로 대피한다.,돌아와 보니 집이 대부분 타버렸습니다.,재산 --,집은 무사합니다.,
,,,,사람들을 모아 불을 끈다.,성공적으로 진화,사회적 지위+,불을 끄다 화상을 입었습니다.,부상
,,,,신에게 기도한다.,불이 꺼집니다.,신앙+,,
4,환경,지진,"갑자기 땅이 흔들리기 시작했고, 그로 인해 건물들이 무너지고 도로가 깨어지기 시작했습니다. 지진은 짧았지만 그 후유증은 크며, 사람들은 그 원인을 신의 분노로 믿고 있습니다.",사람들을 구조한다.,,,,
,,,,집안에 안전하게 숨어있는다.,,,,
,,,,이틈에 이웃의 물건을 훔친다.,,,,
5,환경,태풍,"바다에서 온 거대한 태풍이 땅을 향해 다가오고 있습니다. 바람과 물결은 모든 것을 삼키려 하고, 사람들은 집과 농작물을 지키기 위해 발버둥치고 있습니다.",집 안팎을 살피며 대비한다.,,,,
,,,,집을 버리고 가족과 함께 높은 곳으로 이동한다.,,,,
,,,,비바람의 신을 경배한다.,,,,
6,환경,유성우,"밤하늘을 수놓는 유성우가 나타났습니다. 이는 복이 올 것이라고 믿는 사람들이 많지만, 일부는 이것을 나쁜 징조라고 생각합니다.",부자가 되게 해달라는 소원을 빈다.,,,,
,,,,건강하게 해달라는 소원을 빈다.,,,,
,,,,불길한 징조이니 몸과 마음을 정결히 한다.,,,,
7,환경,풍년,"올해는 비도 잘 와주고, 해도 적당히 뜨면서 농작물이 풍성하게 자랐습니다. 사람들은 이를 신의 축복이라고 믿고 감사의 의식을 올리고 있습니다.",힘든줄 모르고 열심히 수확한다.,,,,
,,,,마을 축제에 많은 공물을 올린다.,,,,
,,,,먹고 마시고 노래한다.,,,,
8,환경,일식,"태양이 갑자기 사라져 어둠이 밀려왔습니다. 이는 일시적인 현상이지만, 사람들은 이것을 신의 경고로 받아들이고 있습니다.",집안에 숨는다.,,,,
,,,,일식을 관측하며 신의 경고를 듣는다.,,,,
,,,,일식을 해석하는 신전의 모임에 나간다.,,,,
9,환경,메뚜기 떼,"메뚜기 떼가 마을을 덮쳐 곧 수확을 앞두었던 농작물들을 먹어 치웠습니다. 갑작스러운 재앙에 혼란스러워하던 사람들은, 앞으로 힘든 시간이 되리라는 것을 직감합니다.",마을사람들과 함께 메뚜기를 쫓아낸다.,,,,
,,,,남은 농작물이라도 찾아 보관한다.,,,,
,,,,먼 이웃 마을에 식량을 구하러 떠난다.,,,,
10,환경,역병 창궐,"마을 사람들이 병으로 하나 둘 쓰러지기 시작했습니다. 처음보는 열병은 치료도 잘 되지 않고, 환자를 돌보는 사람들에게 번져 환자가 급속도로 늘어납니다. 사람들은 이 재앙이 왜 찾아왔는지, 어떻게 대처해야 할지에 대해 깊은 고민과 두려움에 빠져 있습니다.",의사를 찾아 떠난다.,,,,
,,,,병든 사람들을 따로 격리하고 치료한다.,,,,
,,,,신전에 모여 신에게 기도한다.,,,,
11,국가,적의 침략,"적군이 국경을 넘었다는 소식이 들립니다. 왕은 군대를 소집했고, 마을에서는 누가 전쟁에 나가야 할지를 의논하느라 많은 사람들이 모여 있습니다.",직접 자원한다.,,,,
,,,,아들을 보낸다.,,,,
,,,,공물을 보낸다.,,,,
12,국가,신전 건설,"왕이 신전 건설을 명령하자, 사람들은 이를 통해 신의 축복을 받을 수 있을 것이라 기대합니다. 하지만 건설은 자원과 노동력을 크게 필요로 합니다.",,,,,
,,,,,,,,
,,,,,,,,
13,국가,노예 반란,"수도에서 억압받던 노예들이 결심하여 반란을 일으켰습니다. 이로 인해 사회 구조가 크게 흔들리며, 안정을 되찾는 데 오랜 시간이 걸릴 것으로 보입니다.",,,,,
,,,,,,,,
,,,,,,,,
14,국가,왕의 서거,"왕이 갑자기 목숨을 잃자, 성대한 장례식이 펼쳐집니다. 아직 후계자가 정해지지 않았기에, 왕위를 둘러싼 쟁탈전이 벌어질 것 같습니다. 아직은 조용하지만, 역사에는 혼란스러운 시기로 기억될 것입니다.",,,,,
,,,,,,,,
,,,,,,,,
15,국가,무역로 개통,"새로운 무역로가 개통되어, 마을에는 다양한 상인들이 방문하고 여러 상품과 문화가 쏟아져 들어옵니다. 기회를 잡으려는 사람들은 매우 들떠 있고, 마을도 활기를 띄며 점점 확장되고 있습니다.",,,,,
,,,,,,,,
,,,,,,,,
16,국가,장인 모집,"왕이 장인들을 모집하는 공고를 냈습니다. 고도의 기술을 선보이려고 합니다. 예술과 과학이 발전할 전망이지만, 경쟁도 치열해질 것입니다. 삶의 터전을 떠나 수도로 갈 수 있는 기회입니다.",,,,,
,,,,,,,,
,,,,,,,,
17,국가,광물 발견,"근처 산에서 광물이 발견되자, 모두가 부의 꿈을 꾸기 시작했습니다. 하지만 이로 인해 출몰하는 이방인과 갈등이 예상됩니다.",,,,,
,,,,,,,,
,,,,,,,,
18,국가,종교 탄생,"새로운 종교가 탄생하여 사람들 사이에 파동을 일으킵니다. 몇몇은 신앙의 위로를 받지만, 다른 이들은 분열을 느낍니다.",,,,,
,,,,,,,,
,,,,,,,,
19,국가,태평성대,"새로 즉위한 왕의 통치 아래에서 왕국은 전례 없는 안정을 맛보고 있습니다. 농민과 상인을 위한 혁신적인 정책을 시행함으로써 과도한 세금의 부담을 덜어주었고, 왕은 높은 인기를 누리고 있습니다. 사람들의 얼굴에는 희망이 엿보이며, 이는 새 왕의 현명한 통치 덕분이라는 것을 모두가 느끼고 있습니다.",,,,,
,,,,,,,,
,,,,,,,,
20,국가,출정,"왕과 기사단이 큰 전쟁을 앞두고 출정합니다. 전쟁에 대한 기대와 불안, 두 가지 감정이 마을을 뒤덮고 있습니다.",,,,,
,,,,,,,,
,,,,,,,,
21,마을,마을 축제,"마을 전체가 활력을 띠고 모여드는 축제가 열렸습니다. 사람들의 얼굴에는 웃음과 희망이 가득하며, 이곳에서는 잠시 일상의 고단함을 잊을 수 있습니다.",,,,,
,,,,,,,,
,,,,,,,,
22,마을,학교 건설,왕이 직접 후원한 새로운 학교가 마을에 건설되었습니다. 특히 이 학교에서는 고대 언어와 천문학까지 가르친다고 합니다. 마을의 미래가 밝아 보이기 시작합니다.,,,,,
,,,,,,,,
,,,,,,,,
23,마을,떠돌이 방문,"방랑자가 오래된 지도와 신비한 동전을 가지고 마을을 찾았습니다. 그의 이야기를 듣고, 어린이들은 모험에 대한 꿈을 키우기 시작했습니다.",,,,,
,,,,,,,,
,,,,,,,,
24,마을,늑대 출현,평소에는 나타나지 않던 검은 늑대가 마을 주변에 출현했습니다. 밤에 가축을 습격하는 일이 잦아지자 마을 사람들은 함께 대책을 마련하기 시작했습니다.,,,,,
,,,,,,,,
,,,,,,,,
25,마을,떠도는 소문,"촌장이 마을 자금을 횡령했다는 안 좋은 소문이 시작되었습니다. 마을사람들은 촌장에 대한 불신을 느끼고 있으며, 촌장과 가까운 사람들은 어디서부터 그런 이야기가 퍼진 것인지를 캐고 있습니다.",,,,,
,,,,,,,,
,,,,,,,,
26,마을,범죄 발생,"마을에서 존경받던 농부가 자신의 농장에서 살해되었습니다. 그 동안 안전하다고 느꼈던 마을에 긴장이 느껴지기 시작했습니다. 이 일로 인해 주민들은 친밀하던 이웃까지도 의심하며, 안전을 위해 주의를 기울이고 있습니다.",,,,,
,,,,,,,,
,,,,,,,,
27,마을,미지의 식물 발견,숲에서 전에는 볼 수 없던 빛나는 식물을 발견했습니다. 일부 주민들은 이 식물로 만든 차를 마셨을 때 기운이 솟는 것을 느꼈다고 합니다.,,,,,
,,,,,,,,
,,,,,,,,
28,마을,조리법 발견,"이웃 농부가 썩어가던 채소를 소금물에 넣었다가 말리면 의외로 먹을만 하다는 걸 발견하고, 그 채소들로 요리한 수프가 유행하고 있습니다.",,,,,
,,,,,,,,
,,,,,,,,
29,마을,도적떼 출현,"마을 근처의 숲에서 도적떼가 나타났다는 소식이 퍼졌습니다. 사람들은 이 도적떼 때문에 가족들을 위험에 빠뜨릴까 두려워하며, 일부는 밤에 경비를 서기 시작했습니다. 마을의 몇몇 사람들은 이 도적떼를 쫓아내기 위한 자원반을 조직했습니다.",,,,,
,,,,,,,,
,,,,,,,,
30,마을,이주해온 사람들,"다른 지역에서 난민으로 도착한 가족이 마을에 정착하게 되었습니다. 이들은 독특한 농법과 공예 기술을 가지고 왔고, 마을 사람들은 처음에는 의심스럽게 바라보았지만, 곧 이들의 기술이 마을에 큰 도움이 되는 것을 알게 되었습니다.",,,,,
,,,,,,,,
,,,,,,,,
31,개인,결혼,"당신과 사랑하는 이가 결혼을 했습니다. 이로 인해 새로운 챕터가 시작되고, 둘이 함께 앞으로의 삶을 꾸려나가게 됩니다. 둘 사이에 행복과 사랑이 가득 차 있어, 친구와 가족도 그 행복을 축복하고 있습니다. 결혼식에서는 감동적인 순간들이 많아, 모두가 당신들의 앞날을 밝게 기대하고 있습니다.",,,,,
,,,,,,,,
,,,,,,,,
32,개인,자녀 출생,"당신의 가정에 첫 아이가 태어났습니다. 이 아이의 출생은 가족에 새로운 희망과 기쁨을 가져다주었습니다. 아이를 처음으로 두 팔에 안았을 때, 당신은 앞으로의 책임감과 사랑이 몰려오는 것을 느꼈습니다. 부모가 되는 것의 중요성을 다시 한번 깨닫게 되었습니다.",,,,,
,,,,,,,,
,,,,,,,,
33,개인,자녀 결혼 제안,"당신의 자녀가 누군가와 결혼을 제안받았습니다. 이 결혼이 이루어진다면, 당신의 가족은 더 커질 가능성이 있습니다. 사실, 이 결혼 제안으로 인해 당신 자신도 부모로서의 새로운 역할에 대해 생각하게 되었습니다. 이제 그 자녀도 다른 이와 새로운 가족을 이룰 준비가 되었다는 사실에 감동을 받았습니다.",,,,,
,,,,,,,,
,,,,,,,,
34,개인,신앙적 깨달음,"당신이 최근 겪은 어려움을 극복하는 과정에서, 신앙적인 면에서 큰 깨달음을 얻었습니다. 이 경험을 통해 신앙의 중요성과 개인적인 성장에 대한 새로운 시각을 얻게 되었습니다. 이러한 깨달음은 당신이 앞으로의 어려움을 극복하는 데 큰 힘이 될 것이라고 느꼈습니다.",,,,,
,,,,,,,,
,,,,,,,,
35,개인,여행,"당신은 먼 여행을 다녀왔습니다. 그 곳에서 접한 다양한 문화와 지식으로 인해 새로운 시각을 얻었습니다. 이 여행을 통해 당신은 새로운 친구도 사귀고, 알지 못했던 자신에 대한 새로운 것을 발견하게 되었습니다. 각종 경험을 통해 당신은 더 성장한 것을 느꼈습니다.",,,,,
,,,,,,,,
,,,,,,,,
36,개인,은퇴,"당신은 은퇴를 결정했습니다. 이제는 가문을 자식에게 물려줄 때 입니다. 은퇴식에서 동료들과의 따뜻한 이별을 나누며, 앞으로의 일상이 어떻게 변할지 기대와 설렘이 교차합니다. 당신은 이제 더 많은 시간을 가족과 보낼 수 있을 것이고, 그동안 소홀했던 취미생활에도 몰입할 계획입니다.",,,,,
,,,,,,,,
,,,,,,,,
37,개인,발병,몸이 좋지않아 의사를 찾았는데 진단받은 결과가 생각보다 나쁘다고 합니다. 이제 건강 관리에 더 신경을 써야 할 시기입니다. 삶의 소중함을 다시 한번 느끼게 만듭니다. 가족과 친구들도 당신의 건강을 위해 큰 지지를 보내고 있습니다.,,,,,
,,,,,,,,
,,,,,,,,
38,개인,일의 성공,"직업적으로 눈부신 성과를 내기 시작했습니다. 주변에서도 당신을 인정하고 있고, 앞으로 더 나은 기회가 찾아올 것 같습니다. 성공의 기쁨을 동료들과 함께 나누며, 앞으로 더 큰 도전을 준비하고 있습니다. 이 성공을 계기로 당신은 스스로의 능력에 더욱 자신을 느끼게 되었습니다.",,,,,
,,,,,,,,
,,,,,,,,
39,개인,이직 기회,"아는 사람에게 더 좋은 직장의 제안을 받았습니다. 하지만 지금까지의 일과는 다릅니다. 새로운 환경에서의 성장 가능성이 당신을 설레게 하면서도, 지금까지 이룬 것들을 모두 저버리는 것은 아닌지 두려운 마음이 들기도 합니다.",,,,,
,,,,,,,,
,,,,,,,,
40,개인,재회,"먼 곳을 이사갔던 친척과의 재회가 이루어졌습니다. 이로 인해 오랜만에 추억을 되새기고, 기분 좋은 시간을 보낼 수 있었습니다. 이 재회는 당신에게 과거의 좋은 시간을 회상하게 하고, 미래에 대한 새로운 계획을 세울 수 있는 계기가 되었습니다. 사랑하는 사람들과의 소중한 시간을 보내며, 당신은 삶의 행복을 다시 한번 느끼게 되었습니다.",,,,,
,,,,,,,,
,,,,,,,,
41,,,,,,,,
,,,,,,,,
,,,,,,,,
42,,,,,,,,
,,,,,,,,
,,,,,,,,
43,,,,,,,,
,,,,,,,,
,,,,,,,,
44,,,,,,,,
,,,,,,,,
,,,,,,,,
45,,,,,,,,
,,,,,,,,
,,,,,,,,
